03/06/2015,49
04/06/2015,49
05/06/2015,44
06/06/2015,46
07/06/2015,47
08/06/2015,44
09/06/2015,46
10/06/2015,46
11/06/2015,47
12/06/2015,46
13/06/2015,41
14/06/2015,48
15/06/2015,44
16/06/2015,52
17/06/2015,50
18/06/2015,100
19/06/2015,58
20/06/2015,57
21/06/2015,49
22/06/2015,48
23/06/2015,49
24/06/2015,44
25/06/2015,54
26/06/2015,44
27/06/2015,51
28/06/2015,51
29/06/2015,61
30/06/2015,71
01/07/2015,65
02/07/2015,57
03/07/2015,60
04/07/2015,61
05/07/2015,64
06/07/2015,72
07/07/2015,63
08/07/2015,65
09/07/2015,60
10/07/2015,68
11/07/2015,63
12/07/2015,68
13/07/2015,64
14/07/2015,58
15/07/2015,56
16/07/2015,57
17/07/2015,52
18/07/2015,53
19/07/2015,55
20/07/2015,54
21/07/2015,53
22/07/2015,54
23/07/2015,53
24/07/2015,54
25/07/2015,50
26/07/2015,57
27/07/2015,56
28/07/2015,59
29/07/2015,52
30/07/2015,52
31/07/2015,52
01/08/2015,87
02/08/2015,69
03/08/2015,61
04/08/2015,58
05/08/2015,55
06/08/2015,53
07/08/2015,50
08/08/2015,50
09/08/2015,51
10/08/2015,48
11/08/2015,49
12/08/2015,51
13/08/2015,52
14/08/2015,47
15/08/2015,46
16/08/2015,53
17/08/2015,52
18/08/2015,61
19/08/2015,75
20/08/2015,65
21/08/2015,61
22/08/2015,57
23/08/2015,58
24/08/2015,68
25/08/2015,70
26/08/2015,62
27/08/2015,56
28/08/2015,50
29/08/2015,53
30/08/2015,53
31/08/2015,50
01/09/2015,56
02/09/2015,53
03/09/2015,33
04/09/2015,30
05/09/2015,30
06/09/2015,33
07/09/2015,31
08/09/2015,32
09/09/2015,33
10/09/2015,30
11/09/2015,32
12/09/2015,32
13/09/2015,31
14/09/2015,31
15/09/2015,32
16/09/2015,33
17/09/2015,32
18/09/2015,35
19/09/2015,31
20/09/2015,32
21/09/2015,32
22/09/2015,36
23/09/2015,34
24/09/2015,32
25/09/2015,34
26/09/2015,31
27/09/2015,31
28/09/2015,32
29/09/2015,33
30/09/2015,32
01/10/2015,32
02/10/2015,31
03/10/2015,30
04/10/2015,31
05/10/2015,33
06/10/2015,37
07/10/2015,35
08/10/2015,34
09/10/2015,33
10/10/2015,33
11/10/2015,30
12/10/2015,33
13/10/2015,33
14/10/2015,31
15/10/2015,32
16/10/2015,33
17/10/2015,36
18/10/2015,34
19/10/2015,33
20/10/2015,36
21/10/2015,37
22/10/2015,40
23/10/2015,38
24/10/2015,35
25/10/2015,39
26/10/2015,39
27/10/2015,40
28/10/2015,42
29/10/2015,46
30/10/2015,49
31/10/2015,41
01/11/2015,46
02/11/2015,54
03/11/2015,74
04/11/2015,100
05/11/2015,84
06/11/2015,62
07/11/2015,53
